最新上线,#genre#
湖南卫视,http://198.204.228.26/live/hubwshd.m3u8
湖北卫视,http://198.204.228.26/live/hbwshd.m3u8
广西卫视,http://198.204.228.26/live/gxwshd.m3u8
重庆卫视,http://198.204.228.26/live/cqwshd.m3u8
四川卫视,http://198.204.228.26/live/scwshd.m3u8
贵州卫视,http://198.204.228.26/live/gzwshd.m3u8
云南卫视,http://198.204.228.26/live/ynwshd.m3u8
西藏卫视,http://198.204.228.26/live/xzwshd.m3u8
甘肃卫视,http://198.204.228.26/live/gswshd.m3u8
青海卫视,http://198.204.228.26/live/qhwshd.m3u8
宁夏卫视,http://198.204.228.26/live/nxws.m3u8
新疆卫视,http://198.204.228.26/live/xjws.m3u8
CCTV-1HD,http://192.151.150.154/live/cctv1hd.m3u8
CCTV-2HD,http://192.151.150.154/live/cctv2hd.m3u8
CCTV-3HD,http://192.151.150.154/live/cctv3hd.m3u8
CCTV-4HD,http://192.151.150.154/live/cctv4hd.m3u8
CCTV-5HD,http://192.151.150.154/live/cctv5hd.m3u8
CCTV-6HD,http://192.151.150.154/live/cctv6hd.m3u8
CCTV-7HD,http://192.151.150.154/live/cctv7hd.m3u8
CCTV-8HD,http://192.151.150.154/live/cctv8hd.m3u8
CCTV-9HD,http://192.151.150.154/live/cctv9hd.m3u8
CCTV-10HD,http://192.151.150.154/live/cctv10hd.m3u8
CCTV-11HD,http://192.151.150.154/live/cctv11hd.m3u8
CCTV-12HD,http://192.151.150.154/live/cctv12hd.m3u8
CCTV-13HD,http://192.151.150.154/live/cctv13hd.m3u8
CCTV-14HD,http://192.151.150.154/live/cctv14hd.m3u8
CCTV-15HD,http://192.151.150.154/live/cctv15hd.m3u8
CCTV-16HD,http://192.151.150.154/live/cctv16hd.m3u8
CCTV-17HD,http://192.151.150.154/live/cctv17hd.m3u8
CCTV-5+HD,http://192.151.150.154/live/cctv5p.m3u8
CCTV-1综合,http://192.151.150.154/live/cctv1hd.m3u8
CCTV-2财经,http://192.151.150.154/live/cctv2hd.m3u8
CCTV-3综艺,http://192.151.150.154/live/cctv3hd.m3u8
CCTV-4中文国际,http://192.151.150.154/live/cctv4hd.m3u8
CCTV-5体育,http://192.151.150.154/live/cctv5hd.m3u8
CCTV-6电影,http://192.151.150.154/live/cctv6hd.m3u8
CCTV-7国防军事,http://192.151.150.154/live/cctv7hd.m3u8
CCTV-8电视剧,http://192.151.150.154/live/cctv8hd.m3u8
CCTV-9纪录,http://192.151.150.154/live/cctv9hd.m3u8
CCTV-10科教,http://192.151.150.154/live/cctv10hd.m3u8
CCTV-11戏曲,http://192.151.150.154/live/cctv11hd.m3u8
CCTV-12社会与法,http://192.151.150.154/live/cctv12hd.m3u8
CCTV-13新闻,http://192.151.150.154/live/cctv13hd.m3u8
CCTV-14少儿,http://192.151.150.154/live/cctv14hd.m3u8
CCTV-15音乐,http://192.151.150.154/live/cctv15hd.m3u8
CCTV-16奥林匹克,http://192.151.150.154/live/cctv16hd.m3u8
CCTV-17农业农村,http://192.151.150.154/live/cctv17hd.m3u8
CCTV-5+体育赛事,http://192.151.150.154/live/cctv5p.m3u8
CCTV-4K超高清,http://192.151.150.154/live/cctv4k.m3u8
CCTV-8K超高清,http://192.151.150.154/live/cctv8k.m3u8
国学频道,http://192.151.150.154/live/gxpd.m3u8
天元围棋,http://192.151.150.154/live/gztywq.m3u8
优漫卡通,http://192.151.150.154/live/ymkt.m3u8
卡酷少儿,http://192.151.150.154/live/btvkk.m3u8
CHC动作电影,http://192.151.150.154/live/chcdz.m3u8
CHC影迷电影,http://192.151.150.154/live/chchd.m3u8
中国教育3,http://192.151.150.154/live/cetv3.m3u8
嘉佳卡通,http://192.151.150.154/live/gdjjkt.m3u8
岭南戏曲,http://192.151.150.154/live/gdlnxq.m3u8
广东少儿,http://192.151.150.154/live/gdtvs5.m3u8
陕西卫视HD,http://192.151.150.154/live/snwshd.m3u8
深圳卫视HD,http://192.151.150.154/live/szwshd.m3u8
西藏卫视,http://192.151.150.154/live/xzws.m3u8
大湾区卫视,http://192.151.150.154/live/nfws.m3u8
北京卫视,http://192.151.150.154/live/bjwshd.m3u8
广东卫视,http://192.151.150.154/live/gdwshd.m3u8
天津卫视,http://192.151.150.154/live/tjwshd.m3u8
河北卫视,http://192.151.150.154/live/hebws.m3u8
山西卫视,http://192.151.150.154/live/sxwshd.m3u8
内蒙古卫视,http://192.151.150.154/live/nmgws.m3u8
辽宁卫视,http://192.151.150.154/live/lnwshd.m3u8
吉林卫视,http://192.151.150.154/live/jlwshd.m3u8
黑龙江卫视,http://192.151.150.154/live/hljwshd.m3u8
东方卫视,http://192.151.150.154/live/dfwshd.m3u8
江苏卫视,http://192.151.150.154/live/jswshd.m3u8
浙江卫视,http://192.151.150.154/live/zjwshd.m3u8
安徽卫视,http://192.151.150.154/live/ahwshd.m3u8
东南卫视,http://192.151.150.154/live/dnwshd.m3u8
江西卫视,http://192.151.150.154/live/jxwshd.m3u8
山东卫视,http://192.151.150.154/live/sdwshd.m3u8
湖南卫视,http://192.151.150.154/live/hnwshd.m3u8
湖南卫视,http://192.151.150.154/live/hubwshd.m3u8
湖北卫视,http://192.151.150.154/live/hbwshd.m3u8
广西卫视,http://192.151.150.154/live/gxwshd.m3u8
重庆卫视,http://192.151.150.154/live/cqwshd.m3u8
四川卫视,http://192.151.150.154/live/scwshd.m3u8
贵州卫视,http://192.151.150.154/live/gzwshd.m3u8
云南卫视,http://192.151.150.154/live/ynwshd.m3u8
西藏卫视,http://192.151.150.154/live/xzwshd.m3u8
甘肃卫视,http://192.151.150.154/live/gswshd.m3u8
青海卫视,http://192.151.150.154/live/qhwshd.m3u8
宁夏卫视,http://192.151.150.154/live/nxws.m3u8
新疆卫视,http://192.151.150.154/live/xjws.m3u8
CCTV-央视文化精品,http://192.151.150.154/live/ysjp.m3u8
CCTV-卫生健康,http://192.151.150.154/live/wsjk.m3u8
北京卡酷少儿,http://192.151.150.154/live/btvkk.m3u8
中央新影-发现之旅,http://192.151.150.154/live/fxzl.m3u8
中央新影-老故事,http://192.151.150.154/live/lgs.m3u8
中国教育3,http://192.151.150.154/live/cetv3.m3u8
广东珠江,http://192.151.150.154/live/gdzj.m3u8
广东体育,http://192.151.150.154/live/gdty.m3u8
广东新闻,http://192.151.150.154/live/gdxw.m3u8
广西影视,http://192.151.150.154/live/gxys.m3u8
广西综艺旅游,http://192.151.150.154/live/gxzy.m3u8
广西都市,http://192.151.150.154/live/gxds.m3u8
广西新闻,http://192.151.150.154/live/gxxw.m3u8
广西国际,http://192.151.150.154/live/gxgj.m3u8
湖北综合,http://192.151.150.154/live/hbzh.m3u8
湖北经视,http://192.151.150.154/live/hbjs.m3u8
湖北影视,http://192.151.150.154/live/hbys.m3u8
湖北教育,http://192.151.150.154/live/hbjy.m3u8
湖北垄上,http://192.151.150.154/live/hbls.m3u8
湖北生活,http://192.151.150.154/live/hbty.m3u8
湖南娱乐,http://192.151.150.154/live/hnyl.m3u8
湖南教育,http://192.151.150.154/live/hnjy.m3u8
吉林都市,http://192.151.150.154/live/jlds.m3u8
吉林综艺文化,http://192.151.150.154/live/jlfz.m3u8
吉林生活,http://192.151.150.154/live/jlsh.m3u8
新疆汉语影视,http://192.151.150.154/live/xjtv6.m3u8
江西少儿家庭,http://192.151.150.154/live/jxtv6.m3u8
江西新闻频道,http://192.151.150.154/live/jxtv7.m3u8

CCTV-1综合,http://8.138.7.223/tv/api.php?id=cctv1
CCTV-2财经,http://8.138.7.223/tv/api.php?id=cctv2
CCTV-5体育频道,http://8.138.7.223/tv/api.php?id=cctv5
CCTV-5+体育赛事,http://8.138.7.223/tv/api.php?id=cctv5p
CCTV-16奥林匹克,http://8.138.7.223/tv/api.php?id=cctv16
CCTV-13新闻,http://pull-f5.douyinliving.com/media/stream-696031215627010898_hd/index.m3u8?expire=1782516489&sign=5253a7efb2473857c7a883d586be6c51&volcSecret=5253a7efb2473857c7a883d586be6c51&volcTime=1782516489&arch_hrchy=s2&s_anchor=1&major_anchor_level=vip&t_id=037-2026062007280976D8A00111990FB460FD-WndJaM
CCTV-1综合,http://8.138.7.223/tv/cctv.php?id=cctv1-1
CCTV-4中文国际,http://8.138.7.223/tv/cctvnews.php?id=cctv4
CCTV-5体育频道,http://8.138.7.223/tv/cctv.php?id=cctv5-1
CCTV-5体育频道,http://8.138.7.223/tv/cctv.php?id=cctv5
CCTV-5+体育赛事,http://8.138.7.223/tv/cctv.php?id=cctv5p
CCTV-7国防军事,http://8.138.7.223/tv/cctvnews.php?id=cctv7
CCTV-9纪录,http://8.138.7.223/tv/cctvnews.php?id=cctv9
CCTV-10科教,http://8.138.7.223/tv/cctvnews.php?id=cctv10
CCTV-12社会与法,http://8.138.7.223/tv/cctvnews.php?id=cctv12
CCTV-13新闻,http://8.138.7.223/tv/cctvnews.php?id=cctv13
CCTV-17农业农村,http://8.138.7.223/tv/cctvnews.php?id=cctv17
CCTV-4K超高清,http://8.138.7.223/tv/cctvnews.php?id=cctv4k
CCTV-13新闻,http://8.138.7.223/tv/cctv13.php
CCTV-13新闻,rtmp://hls.hsrtv.cn/live/hsyouxian
北京卫视,http://8.138.7.223/tv/xxqg1.php?id=bjws
天津卫视,http://8.138.7.223/tv/xxqg1.php?id=tjws
河北卫视,http://8.138.7.223/tv/xxqg1.php?id=hbws
山西卫视,http://8.138.7.223/tv/xxqg1.php?id=sxws
辽宁卫视,http://8.138.7.223/tv/xxqg1.php?id=lnws
内蒙古卫视,http://8.138.7.223/tv/xxqg1.php?id=nmgws
吉林卫视,http://8.138.7.223/tv/xxqg1.php?id=jlws
黑龙江卫视,http://8.138.7.223/tv/xxqg1.php?id=hljws
东方卫视,http://8.138.7.223/tv/xxqg1.php?id=dfws
江苏卫视,http://8.138.7.223/tv/xxqg1.php?id=jsws
浙江卫视,http://8.138.7.223/tv/xxqg1.php?id=zjws
安徽卫视,http://8.138.7.223/tv/xxqg1.php?id=ahws
东南卫视,http://8.138.7.223/tv/xxqg1.php?id=dnws
江西卫视,http://8.138.7.223/tv/xxqg1.php?id=jxws
山东卫视,http://8.138.7.223/tv/xxqg1.php?id=sdws
河南卫视,http://8.138.7.223/tv/xxqg1.php?id=henanws
湖北卫视,http://8.138.7.223/tv/xxqg1.php?id=hubeiws
广东卫视,http://8.138.7.223/tv/xxqg1.php?id=gdws
广西卫视,http://8.138.7.223/tv/xxqg1.php?id=gxws
海南卫视,http://8.138.7.223/tv/xxqg1.php?id=hainanws
四川卫视,http://8.138.7.223/tv/xxqg1.php?id=scws
贵州卫视,http://8.138.7.223/tv/xxqg1.php?id=gzws
云南卫视,http://8.138.7.223/tv/xxqg1.php?id=ynws
西藏卫视,http://8.138.7.223/tv/xxqg1.php?id=xzws
陕西卫视,http://8.138.7.223/tv/xxqg1.php?id=shanxiws
甘肃卫视,http://8.138.7.223/tv/xxqg1.php?id=gsws
青海卫视,http://8.138.7.223/tv/xxqg1.php?id=qhws
宁夏卫视,http://8.138.7.223/tv/xxqg1.php?id=nxws
新疆卫视,http://8.138.7.223/tv/xxqg1.php?id=xjws
兵团卫视,http://8.138.7.223/tv/xxqg1.php?id=btws
海峡卫视,http://8.138.7.223/tv/xxqg1.php?id=hxws
山东教育,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8
CCTV1-综合,http://42.86.210.26:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://42.86.210.26:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://42.86.210.26:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://42.86.210.26:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://42.86.210.26:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://42.86.210.26:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://42.86.210.26:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://42.86.210.26:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://42.86.210.26:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://42.86.210.26:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://42.86.210.26:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://42.86.210.26:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://42.86.210.26:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿频道,http://42.86.210.26:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐频道,http://42.86.210.26:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16奥林匹克频道,http://42.86.210.26:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17农业农村频道,http://42.86.210.26:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事频道,http://42.86.210.26:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://42.86.210.26:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://42.86.210.26:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://42.86.210.26:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://42.86.210.26:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://42.86.210.26:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://42.86.210.26:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://42.86.210.26:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://42.86.210.26:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://42.86.210.26:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://42.86.210.26:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://42.86.210.26:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://42.86.210.26:9901/tsfile/live/0128_2.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://42.86.210.26:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://42.86.210.26:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://42.86.210.26:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://42.86.210.26:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://42.86.210.26:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://42.86.210.26:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://42.86.210.26:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://42.86.210.26:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://42.86.210.26:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://42.86.210.26:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://42.86.210.26:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://42.86.210.26:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://42.86.210.26:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://42.86.210.26:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://42.86.210.26:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://42.86.210.26:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://42.86.210.26:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CETV,http://42.86.210.26:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://42.86.210.26:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://42.86.210.26:9901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://42.86.210.26:9901/tsfile/live/0002_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://42.86.210.26:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1综合,http://47.97.252.137:8088/tvlive/cctv1hd.m3u8?node=10
CCTV-2财经,http://47.97.252.137:8088/tvlive/cctv2hd.m3u8?node=3
CCTV-3综艺,http://47.97.252.137:8088/tvlive/cctv3hd.m3u8?node=3
CCTV-4中文国际,http://47.97.252.137:8088/tvlive/cctv4hd.m3u8?node=3
CCTV-5体育,http://47.97.252.137:8088/tvlive/cctv5hd.m3u8?node=3
CCTV-5+体育赛事,http://47.97.252.137:8088/tvlive/cctv5p.m3u8?node=2
CCTV-6电影,http://47.97.252.137:8088/tvlive/cctv6hd.m3u8?node=2
CCTV-7国防军事,http://47.97.252.137:8088/tvlive/cctv7hd.m3u8?node=4
CCTV-8电视剧,http://47.97.252.137:8088/tvlive/cctv8hd.m3u8?node=2
CCTV-9纪录,http://47.97.252.137:8088/tvlive/cctv9hd.m3u8?node=1
CCTV-10科教,http://47.97.252.137:8088/tvlive/cctv10hd.m3u8?node=2
CCTV-11戏曲,http://47.97.252.137:8088/daili/cctv11hd.m3u8?line=1
CCTV-12社会与法,http://47.97.252.137:8088/daili/cctv12hd.m3u8?line=1
CCTV-13新闻,http://47.97.252.137:8088/daili/cctv13hd.m3u8?line=1
CCTV-14少儿,http://47.97.252.137:8088/daili/cctv14hd.m3u8?line=1
CCTV-15音乐,http://47.97.252.137:8088/daili/cctv15hd.m3u8?line=1
CCTV-16奥林匹克,http://47.97.252.137:8088/daili/cctv16hd.m3u8?line=1
CCTV-17农业农村,http://47.97.252.137:8088/daili/cctv17hd.m3u8?line=2
CCTV4K超高清,http://47.97.252.137:8088/daili/cctv4k.m3u8?line=0
CCTV8K超高清,http://47.97.252.137:8088/tvlive/cctv8k.m3u8?node=4
CCTV兵器科技,http://47.97.252.137:8088/daili/gfjs.m3u8?line=0
CCTV第一剧场,http://47.97.252.137:8088/daili/dyjc.m3u8?line=0
